DATA;USUARIO;CPSSOA_JURID;CUND_ORGNZ
04/11/2022;E903718;0;0
04/11/2022;E905850;0;0
04/11/2022;E919185;0;0
04/11/2022;E983843;0;0
04/11/2022;E994322;0;0
04/11/2022;F001238;0;0
04/11/2022;F037933;0;0
04/11/2022;F038131;0;0
04/11/2022;F044085;0;0
04/11/2022;F054145;0;0
04/11/2022;F087175;0;0
04/11/2022;F087574;0;0
04/11/2022;F134432;0;0
04/11/2022;F146180;0;0
04/11/2022;F149006;0;0
04/11/2022;F214010;0;0
04/11/2022;F246800;0;0
04/11/2022;F259022;0;0
04/11/2022;F266487;0;0
04/11/2022;F371965;0;0
04/11/2022;F372406;0;0
04/11/2022;F381790;0;0
04/11/2022;F382720;0;0
04/11/2022;F385419;0;0
04/11/2022;F385451;0;0
04/11/2022;F399622;0;0
04/11/2022;F426468;0;0
04/11/2022;F497713;0;0
04/11/2022;F526322;0;0
04/11/2022;F541410;0;0
04/11/2022;F558895;0;0
04/11/2022;F559573;0;0
04/11/2022;F559700;0;0
04/11/2022;F560350;0;0
04/11/2022;F571301;0;0
04/11/2022;F575790;0;0
04/11/2022;F584730;0;0
04/11/2022;F595979;0;0
04/11/2022;F612024;0;0
04/11/2022;F628222;0;0
04/11/2022;F635792;0;0
04/11/2022;F686915;0;0
04/11/2022;F691382;0;0
04/11/2022;F697941;0;0
04/11/2022;F710050;0;0
04/11/2022;F743676;0;0
04/11/2022;F744664;0;0
04/11/2022;F752241;0;0
04/11/2022;F809154;0;0
04/11/2022;F813534;0;0
04/11/2022;F814310;0;0
04/11/2022;F835767;0;0
04/11/2022;F876870;0;0
04/11/2022;F917682;0;0
04/11/2022;F921809;0;0
04/11/2022;F926231;0;0
04/11/2022;F942733;0;0
04/11/2022;F952836;0;0
04/11/2022;F969046;0;0
04/11/2022;F971873;0;0
04/11/2022;G499213;0;0
04/11/2022;G499213;2269651;00002
04/11/2022;G499213;2269651;00107
04/11/2022;G499213;2269651;00152
04/11/2022;G499213;2269651;00195
04/11/2022;G499213;2269651;00254
04/11/2022;G499213;2269651;00450
04/11/2022;G499213;2269651;00461
04/11/2022;G499213;2269651;00499
04/11/2022;G499213;2269651;00516
04/11/2022;G499213;2269651;00619
04/11/2022;G499213;2269651;00815
04/11/2022;G499213;2269651;00837
04/11/2022;G499213;2269651;00870
04/11/2022;G499213;2269651;00970
04/11/2022;G499213;2269651;01363
04/11/2022;G499213;2269651;01426
04/11/2022;G499213;2269651;01432
04/11/2022;G499213;2269651;01442
04/11/2022;G499213;2269651;02516
04/11/2022;G499213;2269651;02856
04/11/2022;G499213;2269651;06932
04/11/2022;G499213;2269651;06934
04/11/2022;G499213;2269651;06935
04/11/2022;G499213;2269651;D04644
04/11/2022;G499213;2269651;04202
04/11/2022;G499213;2269651;04264
04/11/2022;G499213;2269651;04343
04/11/2022;G499213;2269651;04388
04/11/2022;G499213;2269651;04567
04/11/2022;G499213;2269651;04599
04/11/2022;G499213;2269651;08296
04/11/2022;G499213;2269651;08579
04/11/2022;G499213;2269651;08606
04/11/2022;G499213;2269651;08834
04/11/2022;G530633;0;0
04/11/2022;H904669;0;0
04/11/2022;H904936;0;0
04/11/2022;H912300;0;0
04/11/2022;H922012;0;0
04/11/2022;H931399;0;0
04/11/2022;H939411;0;0
04/11/2022;H940320;0;0
04/11/2022;H947821;0;0
04/11/2022;H953783;0;0
04/11/2022;H966737;0;0
04/11/2022;H968063;0;0
04/11/2022;H974632;0;0
04/11/2022;H987564;0;0
04/11/2022;I000410;0;0
04/11/2022;I008675;0;0
04/11/2022;I013660;0;0
04/11/2022;I031430;0;0
04/11/2022;I035982;0;0
04/11/2022;I051929;0;0
04/11/2022;I057323;0;0
04/11/2022;I059490;0;0
04/11/2022;I060596;0;0
04/11/2022;I062181;0;0
04/11/2022;I070052;0;0
04/11/2022;I074120;0;0
04/11/2022;I080147;0;0
04/11/2022;I084665;0;0
04/11/2022;I105697;0;0
04/11/2022;I107002;0;0
04/11/2022;I107002;2269651;07617
04/11/2022;I107002;2269651;08608
04/11/2022;I108033;0;0
04/11/2022;I116206;0;0
04/11/2022;I118292;0;0
04/11/2022;I147888;0;0
04/11/2022;I166351;0;0
04/11/2022;I178694;0;0
04/11/2022;I180192;0;0
04/11/2022;I182225;0;0
04/11/2022;I188924;0;0
04/11/2022;I197567;0;0
04/11/2022;I198482;0;0
04/11/2022;I225617;0;0
04/11/2022;I225749;0;0
04/11/2022;I225749;2269651;06934
04/11/2022;I225749;2269651;08606
04/11/2022;I231730;0;0
04/11/2022;I247238;0;0
04/11/2022;I249141;0;0
04/11/2022;I250441;0;0
04/11/2022;I251766;0;0
04/11/2022;I258558;0;0
04/11/2022;I264400;0;0
04/11/2022;I268910;0;0
04/11/2022;I273093;0;0
04/11/2022;I273093;2269651;06934
04/11/2022;I273093;2269651;08606
04/11/2022;I291480;0;0
04/11/2022;I291496;0;0
04/11/2022;I291648;0;0
04/11/2022;I291793;0;0
04/11/2022;I291851;0;0
04/11/2022;I292053;0;0
04/11/2022;I292855;0;0
04/11/2022;I292977;0;0
04/11/2022;I293098;0;0
04/11/2022;I294741;0;0
04/11/2022;I295748;0;0
04/11/2022;I296023;0;0
04/11/2022;I296328;0;0
04/11/2022;I296753;0;0
04/11/2022;I298302;0;0
04/11/2022;I298428;0;0
04/11/2022;I298497;0;0
04/11/2022;I298554;0;0
04/11/2022;I300273;0;0
04/11/2022;I300313;0;0
04/11/2022;I300761;0;0
04/11/2022;I301082;0;0
04/11/2022;I301672;0;0
04/11/2022;I302027;0;0
04/11/2022;I302877;0;0
04/11/2022;I304501;0;0
04/11/2022;I304639;0;0
04/11/2022;I304818;0;0
04/11/2022;I304823;0;0
04/11/2022;I305724;0;0
04/11/2022;I305852;0;0
04/11/2022;I306874;0;0
04/11/2022;I309398;0;0
04/11/2022;I309804;0;0
04/11/2022;I311270;0;0
04/11/2022;I315035;0;0
04/11/2022;I316298;0;0
04/11/2022;I318756;0;0
04/11/2022;I318957;0;0
04/11/2022;I320009;0;0
04/11/2022;I320622;0;0
04/11/2022;I322460;0;0
04/11/2022;I323771;0;0
04/11/2022;I323795;0;0
04/11/2022;I324332;0;0
04/11/2022;I325082;0;0
04/11/2022;I325628;0;0
04/11/2022;I326190;0;0
04/11/2022;I327041;0;0
04/11/2022;I327325;0;0
04/11/2022;I327346;0;0
04/11/2022;I328857;0;0
04/11/2022;I329214;0;0
04/11/2022;I333701;0;0
04/11/2022;I334325;0;0
04/11/2022;I335487;0;0
04/11/2022;I336550;0;0
04/11/2022;I336950;0;0
04/11/2022;I337022;0;0
04/11/2022;I338531;0;0
04/11/2022;I341313;0;0
04/11/2022;I343596;0;0
04/11/2022;I344602;0;0
04/11/2022;I344647;0;0
04/11/2022;I350598;0;0
04/11/2022;I351840;0;0
04/11/2022;I352721;0;0
04/11/2022;I352924;0;0
04/11/2022;I353353;0;0
04/11/2022;I355545;0;0
04/11/2022;I356187;0;0
04/11/2022;I356228;0;0
04/11/2022;I356335;0;0
04/11/2022;I356443;0;0
04/11/2022;I357552;0;0
04/11/2022;I357737;0;0
04/11/2022;I359386;0;0
04/11/2022;I359994;0;0
04/11/2022;I360278;0;0
04/11/2022;I360593;0;0
04/11/2022;I360735;0;0
04/11/2022;I361198;0;0
04/11/2022;I361400;0;0
04/11/2022;I361792;0;0
04/11/2022;I362088;0;0
04/11/2022;I363177;0;0
04/11/2022;I363541;0;0
04/11/2022;I363959;0;0
04/11/2022;I364119;0;0
04/11/2022;I365725;0;0
04/11/2022;I366672;0;0
04/11/2022;I367447;0;0
04/11/2022;I368373;0;0
04/11/2022;I369631;0;0
04/11/2022;I371502;0;0
04/11/2022;I374705;0;0
04/11/2022;I375243;0;0
04/11/2022;I375632;0;0
04/11/2022;I375706;0;0
04/11/2022;I376194;0;0
04/11/2022;I376995;0;0
04/11/2022;I377458;0;0
04/11/2022;I377462;0;0
