"Country","Year","Continent","Least.Developed","Life.Expectancy","Population","CO2.emissions","Health.expenditure","Electric.power.consumption","Forest.area","GDP.per.capita","Individuals.using.the.Internet","Military.expenditure","People.practicing.open.defecation","People.using.at.least.basic.drinking.water.services","Obesity.among.adults","Beer.consumption.per.capita","ZPopulation","ZCO2.emissions","ZHealth.expenditure","ZElectric.power.consumption","ZForest.area","ZGDP.per.capita","ZIndividuals.using.the.Internet","ZMilitary.expenditure","ZPeople.practicing.open.defecation","ZPeople.using.at.least.basic.drinking.water.services","ZObesity.among.adults","ZBeer.consumption.per.capita","cluster0","cluster1","cluster2","cluster3","cluster4"
"Denmark",2015,"Europe",FALSE,80.70243902,5683483,5.929462754,10.22716618,5858.801536,15.617,49045.33919,96.33050162,1.111446012,0,99.99999785,20.9,3.45,-0.280216401106361,0.160917187192498,1.44729515960643,0.440405486073642,-0.710672124159201,1.3930718583987,1.63918300959299,-0.349256209599469,-0.50267763648309,0.694847254546777,0.149511567924675,0.663859835367105,"1","3","1","1","4"
"Ecuador",2015,"South America",FALSE,76.143,16212022,2.56106243,7.49149466,1376.393633,51.61531648,11060.28627,48.94043379,2.616074159,3.496447184,93.0637795,18.8,2.99,-0.220853114319137,-0.456960541362145,0.362784397350368,-0.587170200009578,1.03969040533763,-0.545672971886361,-0.0872675449996217,0.0729253737358501,-0.247424671988829,0.229172066976879,-0.0875629296919255,0.409184052985751,"1","6","1","1","1"
"Egypt",2015,"Africa",FALSE,71.117,90424668,2.423232509,5.02518845,1684.911332,0.05210106,10895.94317,33.89460391,1.689694836,0.191124016,99.0256283,30.2,0.11,0.197581636004411,-0.482243177130691,-0.614941037962119,-0.516443641186906,-1.46749129083099,-0.554060990620705,-0.635396773972539,-0.187006151626769,-0.488724909871548,0.629431245409947,1.19941291451248,-1.18530780192359,"1","1","1","1","1"
"El Salvador",2015,"North America",FALSE,72.412,6325121,1.106698196,7.63034058,937.0744722,29.26544402,7597.689174,26.80260496,1.056819966,2.202425267,95.56213774,22.1,1.16,-0.276598639837909,-0.7237397786732,0.41782751690419,-0.687882517549092,-0.0470376174784303,-0.722402809103344,-0.893762842666933,-0.364583658203704,-0.341892831538411,0.396903730445749,0.284982709419875,-0.603982646487894,"1","1","1","1","1"
"Eritrea",2015,"Africa",TRUE,64.664,3333645,0.194446714,4.45335484,96.63457996,8.845245978,1626.37,1.083733116,31.5683,67.35015798,51.46509353,3.8,0.52,-0.293465542995612,-0.891077333402864,-0.841634813048368,-0.880550301822412,-1.03993820263439,-1.02717701075989,-1.83071783327493,8.19659139115425,4.41412121070687,-2.56362869480148,-1.78095219838193,-0.958314169801081,"4","8","5","3","9"
"Estonia",2015,"Europe",FALSE,77.5902439,1315407,11.81383402,6.34629202,6732.367473,55.69381182,29175.92593,88.4097035,2.011335173,0,99.75130757,23.4,6,-0.304845017507591,1.24030847150716,-0.0912118441443202,0.640667295457594,1.23800094088252,0.378943424255074,1.35062325576134,-0.0967575230802995,-0.50267763648309,0.67815099630603,0.431743112706341,2.07564949856808,"1","3","1","1","7"
"Ethiopia",2015,"Africa",TRUE,65.048,100835453,0.127832027,3.82317114,69.1987454,15.44784411,1657.344704,13.85517556,0.705413868,31.57458485,42.0700672,3.4,0.59,0.256280987893133,-0.903296703885248,-1.09146049564653,-0.886839866969392,-0.718897068002455,-1.02559607187385,-1.36544599679038,-0.463184221501106,1.80237831360218,-3.19438026974965,-1.82610924554699,-0.919559159438701,"1","2","2","1","6"
"Finland",2015,"Europe",FALSE,81.4804878,5479531,7.814537356,9.64523888,15249.98938,73.73564542,42497.70498,86.42213333,1.449960972,0,99.99999666,24.5,4.13,-0.281366348033169,0.506703169025163,1.21659991162556,2.59330109503328,2.11525722908705,1.05888272347844,1.27821480016263,-0.254272753334582,-0.50267763648309,0.694847174654039,0.555924992410275,1.04033707888737,"1","3","6","1","4"
"France",2015,"Europe",FALSE,82.32195122,66548272,4.677807228,11.4475565,6939.943525,30.74748382,40849.99738,78.00603771,1.872258281,0,100,22.8,2.16,0.0629588414083772,-0.0686784662182472,1.93109828674252,0.688253349351883,0.0250242783767331,0.974784259852519,0.971611040852221,-0.13578092071312,-0.50267763648309,0.694847398890799,0.364007541958742,-0.0503396413110384,"1","3","1","1","4"
"Gabon",2015,"Africa",FALSE,64.913,1947690,3.142183759,2.6574378,1167.851594,91.55120891,14699.53605,45.78453653,1.185025608,2.056236816,83.85848655,13.1,6.37,-0.301280002735866,-0.350363375871201,-1.55359578634499,-0.634977702905331,2.98151148272952,-0.359926838744181,-0.202238905545242,-0.328610609952546,-0.352565103570241,-0.388841424643827,-0.731050851794126,2.28049741048352,"1","6","1","1","7"
