Data;Usuario;Empresa;Unidade
26/08/2022;I900965;2269651;A00002
26/08/2022;I900965;2269651;D00000
26/08/2022;I900965;2269651;D04642
26/08/2022;I900965;2269651;D04644
26/08/2022;I900965;2269651;D04646
26/08/2022;I900965;2269651;D08523
26/08/2022;I900965;2269651;G04202
26/08/2022;I900965;2269651;G04301
27/08/2022;I900965;0;0
27/08/2022;I900965;2269651;A00002
27/08/2022;I900965;2269651;D00000
27/08/2022;I922265;0;0
27/08/2022;I922265;2269651;D04641
27/08/2022;I922365;0;0
27/08/2022;I922365;2269651;A00002
27/08/2022;I922365;2269651;G04202
29/08/2022;I900665;0;0
29/08/2022;I900665;2269651;A00002
29/08/2022;I900665;2269651;A00542
29/08/2022;I900665;2269651;A02856
29/08/2022;I900665;2269651;G04202
29/08/2022;I900665;2269651;G04208
29/08/2022;I900665;2269651;G04291
29/08/2022;I900665;2269651;G04301
29/08/2022;I900665;2269651;G04343
29/08/2022;I900965;0;0
29/08/2022;I900965;2269651;A00002
29/08/2022;I900965;2269651;G04202
29/08/2022;I922465;0;0
29/08/2022;I922465;2269651;A00002
29/08/2022;I922465;2269651;G04202
30/08/2022;I900265;0;0
30/08/2022;I900265;2269651;A00002
30/08/2022;I900265;2269651;G04202
30/08/2022;I900665;0;0
30/08/2022;I900665;2269651;A00002
30/08/2022;I900665;2269651;G04202
30/08/2022;I900965;0;0
30/08/2022;I900965;2269651;A00002
30/08/2022;I900965;2269651;A00076
30/08/2022;I900965;2269651;A00290
30/08/2022;I900965;2269651;D00000
30/08/2022;I900965;2269651;D04651
30/08/2022;I900965;2269651;G04202
30/08/2022;I922565;0;0
30/08/2022;I922565;2269651;A00002
30/08/2022;I922565;2269651;G04202
31/08/2022;I900665;0;0
31/08/2022;I900665;2269651;A00002
31/08/2022;I900665;2269651;G04202
31/08/2022;I900965;0;0
31/08/2022;I900965;2269651;A00002
31/08/2022;I900965;2269651;A00017
31/08/2022;I900965;2269651;A00157
31/08/2022;I900965;2269651;A00283
31/08/2022;I900965;2269651;A02856
31/08/2022;I900965;2269651;D00000
31/08/2022;I900965;2269651;D04641
31/08/2022;I900965;2269651;D04651
31/08/2022;I900965;2269651;G04034
31/08/2022;I900965;2269651;G04035
31/08/2022;I900965;2269651;G04202
31/08/2022;I900965;2269651;G04343
31/08/2022;I922465;0;0
31/08/2022;I922465;2269651;A00002
31/08/2022;I922465;2269651;G04202
31/08/2022;I922565;0;0
31/08/2022;I922565;2269651;A00002
31/08/2022;I922565;2269651;G04202
31/08/2022;I922665;0;0
31/08/2022;I922665;2269651;A00002
31/08/2022;I922665;2269651;G04202
01/09/2022;I900665;0;0
01/09/2022;I900665;2269651;A00002
01/09/2022;I900665;2269651;A02856
01/09/2022;I900665;2269651;G04202
01/09/2022;I900665;2269651;G04343
01/09/2022;I900965;0;0
01/09/2022;I900965;2269651;A00002
01/09/2022;I900965;2269651;A00276
01/09/2022;I900965;2269651;D00000
01/09/2022;I900965;2269651;G04679
01/09/2022;I921465;0;0
01/09/2022;I921465;2269651;A03994
01/09/2022;I921465;2269651;G04308
01/09/2022;I922465;0;0
01/09/2022;I922465;2269651;A00002
01/09/2022;I922465;2269651;G04202
01/09/2022;I922665;0;0
01/09/2022;I922665;2269651;A00002
01/09/2022;I922665;2269651;G04202
01/09/2022;I922765;0;0
01/09/2022;I922765;2269651;A00002
01/09/2022;I922765;2269651;G04202
02/09/2022;I900565;0;0
02/09/2022;I900965;0;0
02/09/2022;I900965;2269651;A00002
02/09/2022;I900965;2269651;A00283
02/09/2022;I900965;2269651;A00569
02/09/2022;I900965;2269651;D00000
02/09/2022;I900965;2269651;D04658
02/09/2022;I900965;2269651;G04034
02/09/2022;I900965;2269651;G04035
02/09/2022;I900965;2269651;G04202
02/09/2022;I900965;2269651;G04565
02/09/2022;I921365;0;0
02/09/2022;I921365;2269651;A03994
02/09/2022;I921365;2269651;G04308
02/09/2022;I921465;0;0
02/09/2022;I921465;2269651;A03994
02/09/2022;I921465;2269651;G04308
02/09/2022;I922265;0;0
02/09/2022;I922265;2269651;A00002
02/09/2022;I922265;2269651;G04202
04/09/2022;I900265;0;0
04/09/2022;I900565;0;0
04/09/2022;I900565;2269651;G04202
05/09/2022;I900265;0;0
05/09/2022;I900265;2269651;A00002
05/09/2022;I900265;2269651;G04202
05/09/2022;I900565;0;0
05/09/2022;I900565;2269651;A00002
05/09/2022;I900565;2269651;G04202
05/09/2022;I900965;0;0
05/09/2022;I900965;2269651;A00002
05/09/2022;I900965;2269651;G04202
05/09/2022;I917665;0;0
05/09/2022;I917665;2269651;A00002
05/09/2022;I917665;2269651;G04202
05/09/2022;I922265;0;0
05/09/2022;I922265;2269651;A00002
05/09/2022;I922265;2269651;G04202
05/09/2022;I922565;0;0
05/09/2022;I922565;2269651;A00002
05/09/2022;I922565;2269651;G04202
06/09/2022;I900965;0;0
06/09/2022;I900965;2269651;A00002
06/09/2022;I900965;2269651;A00003
06/09/2022;I900965;2269651;D00000
06/09/2022;I900965;2269651;D04641
06/09/2022;I900965;2269651;G04202
06/09/2022;I900965;2269651;G04672
06/09/2022;I920365;0;0
06/09/2022;I920365;2269651;A06933
06/09/2022;I920365;2269651;G08608
06/09/2022;I922265;0;0
06/09/2022;I922265;2269651;A00002
06/09/2022;I922265;2269651;G04202
06/09/2022;I922665;0;0
06/09/2022;I922665;2269651;A00002
06/09/2022;I922665;2269651;G04202
07/09/2022;I900965;0;0
07/09/2022;I917565;0;0
07/09/2022;I917565;2269651;A00002
07/09/2022;I917565;2269651;G04202
07/09/2022;I917665;0;0
07/09/2022;I917665;2269651;A00002
07/09/2022;I917665;2269651;G04202
08/09/2022;I900365;0;0
08/09/2022;I900365;2269651;A00002
08/09/2022;I900365;2269651;A00283
08/09/2022;I900365;2269651;G04035
08/09/2022;I900365;2269651;G04202
08/09/2022;I900665;0;0
08/09/2022;I900665;2269651;A00002
08/09/2022;I900665;2269651;A00785
08/09/2022;I900665;2269651;A02856
08/09/2022;I900665;2269651;D00000
08/09/2022;I900665;2269651;G04123
08/09/2022;I900665;2269651;G04202
08/09/2022;I900665;2269651;G04343
08/09/2022;I900965;0;0
08/09/2022;I900965;2269651;A00002
08/09/2022;I920365;0;0
08/09/2022;I920365;2269651;A00002
08/09/2022;I920365;2269651;G04202
08/09/2022;I921365;0;0
08/09/2022;I921365;2269651;A03994
08/09/2022;I921365;2269651;G04308
08/09/2022;I921465;0;0
08/09/2022;I921465;2269651;A03994
08/09/2022;I921465;2269651;G04308
08/09/2022;I922265;0;0
08/09/2022;I922265;2269651;A00002
08/09/2022;I922265;2269651;G04202
09/09/2022;I900265;0;0
09/09/2022;I900265;2269651;A00002
09/09/2022;I900265;2269651;A02516
09/09/2022;I900265;2269651;G04202
09/09/2022;I900265;2269651;G08757
09/09/2022;I900365;0;0
09/09/2022;I900365;2269651;A00002
09/09/2022;I900365;2269651;A00283
09/09/2022;I900365;2269651;G04035
09/09/2022;I900365;2269651;G04202
09/09/2022;I900665;0;0
09/09/2022;I900665;2269651;A00002
09/09/2022;I900665;2269651;G04202
09/09/2022;I900765;0;0
09/09/2022;I900765;2269651;A00002
09/09/2022;I900765;2269651;G04202
09/09/2022;I900865;0;0
09/09/2022;I900865;2269651;A00002
09/09/2022;I900865;2269651;G04202
09/09/2022;I900965;0;0
09/09/2022;I900965;2269651;A00002
